
3,20
26,49
41,109
81,88
61,73
82,185
86,94
89,93
62,121
80,176
84,155
3,22
87,129
2,15
67,78
83,64
74,83
76,80
49,64
86,67
78,88
67,71
60,75
57,93
9,29
84,106
72,104
7,38
83,118
79,62
88,86
75,116
17,60
82,67
75,74
91,85
51,70
21,43
75,89
80,92
88,132
31,49
82,189
3,15
2,18
2,17
5,32
69,85
71,88
88,77
82,92
82,90
3,31
89,87
76,98
82,67
73,106
82,93
57,71
76,72
74,74
72,88
80,103
70,78
46,95
78,60
11,36
76,92
78,73
81,137
84,90
83,95
80,67
82,73
92,81
77,102
73,72
70,130
85,101
72,116
66,78
91,71
36,66
81,92
90,94
79,74
51,67
77,72
86,83
84,88
80,126
19,43
74,79
2,15
74,90
79,99
25,43
88,67
11,32
69,83
2,4
2,15
73,147
68,78
12,36
87,76
5,22
31,87
88,71
49,60
66,74
3,25
4,29
79,85
64,99
13,61
3,18
90,67
94,154
89,102
77,134
77,85
3,15
2,18
2,15
77,102
2,21
44,46
87,90
52,100
89,144
80,85
98,125
79,67
81,93
13,37
76,95
45,92
2,25
2,18
89,119
7,32
2,15
78,116
4,15
78,64
2,35
86,98
4,22
85,98
